sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,activation_information,bid,cbid,code,color,computer_manufacturers,contrast_ratio,cost,country_of_manufacture,country_orgin,cpu_speed,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,delivery,delivery_included,description,dimension,em_deal,em_featured,em_hot,em_label_bestseller,em_label_new,em_label_saleoff,enable_googlecheckout,finish,gallery,gender,gift_message_available,harddrive_speed,hardrive,has_options,height,image,image_label,in_depth,length,manufacturer,max_resolution,media_gallery,megapixels,memory,meta_description,meta_keyword,meta_title,minimal_price,model,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,offer_type,options_container,page_layout,price,processor,qty_in_pack,ram_size,required_options,response_time,room,sales_notes,screensize,shape,shirt_size,shoe_size,shoe_type,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,type_prefix,updated_at,url_key,url_path,vendor_code,visibility,weight,width,yml_export,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
,,Default,simple,Принадлежности для кроваток,Root Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-93J,,Default,simple,Babies/Защитный барьер для кровати,Root Catalog,base,,1,,4600013036988,,,,,,,,2013-12-03 10:52:05,,,,,,0,,,0,0,0,0,0,0,1,,,,,,,0,0.78,/7/0/70ec7e2319b290a3d5c4bf97d1c55f96.jpg,,,0.14,Babies,,,,,,,,,1,,Использовать настройки конфигурации,Использовать настройки конфигурации,Защитный барьер для кровати B-93J,,,vendor.model,Блок после информационной колонки,,1350.0000,,4,,0,,,,,,,,,,/7/0/70ec7e2319b290a3d5c4bf97d1c55f96.jpg,,,,,1,2,/7/0/70ec7e2319b290a3d5c4bf97d1c55f96.jpg,,,2014-03-30 14:26:10,zaschitnyj-bar-er-dlja-krovati-b-93j,zaschitnyj-bar-er-dlja-krovati-b-93j.html,,4,2.7600,0.07,0,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,703,/7/0/70ec7e2319b290a3d5c4bf97d1c55f96.jpg,,1,0
,,Default,simple,Принадлежности для кроваток,Root Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babies H-1 Belly,,Default,simple,,Root Catalog,base,,1,,4600013036995,,,,,,,,2013-12-03 10:52:08,,,,,,0,,,0,0,0,0,0,0,1,,,,,,,0,0.77,/9/d/9dca93889170086e2f24e25fc21400d7.jpg,,,0.375,Babies,,,,,,,,,1,,Использовать настройки конфигурации,Использовать настройки конфигурации,Стулья для кормления Babies H-1 Belly,,,vendor.model,Блок после информационной колонки,,1750.0000,,6,,0,,,,,,,,,,/9/d/9dca93889170086e2f24e25fc21400d7.jpg,,,,,1,2,/9/d/9dca93889170086e2f24e25fc21400d7.jpg,,,2014-04-08 19:15:37,stul-ja-dlja-kormlenija-babies-h-1-belly,stul-ja-dlja-kormlenija-babies-h-1-belly.html,,4,11.4000,0.345,0,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,703,/9/d/9dca93889170086e2f24e25fc21400d7.jpg,,1,0
,,Default,simple,Стулья для кормления ,Root Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Default,simple,Стулья для кормления /Babies,Root Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babies H-1 Koala,,Default,simple,,Root Catalog,base,,1,,4600013037008,,,,,,,,2013-12-03 10:52:11,,,,,,0,,,0,0,0,0,0,0,1,,,,,,,0,0.77,/f/3/f364e962d0855ef9b11dc4b0eb3217d6.jpg,,,0.375,Babies,,,,,,,,,1,,Использовать настройки конфигурации,Использовать настройки конфигурации,Стулья для кормления Babies H-1 Koala,,,vendor.model,Блок после информационной колонки,,1750.0000,,6,,0,,,,,,,,,,/f/3/f364e962d0855ef9b11dc4b0eb3217d6.jpg,,,,,1,2,/f/3/f364e962d0855ef9b11dc4b0eb3217d6.jpg,,,2014-04-08 19:16:22,stul-ja-dlja-kormlenija-babies-h-1-koala,stul-ja-dlja-kormlenija-babies-h-1-koala.html,,4,11.4000,0.345,0,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,703,/f/3/f364e962d0855ef9b11dc4b0eb3217d6.jpg,,1,0
,,Default,simple,Стулья для кормления ,Root Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Default,simple,Стулья для кормления /Babies,Root Catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babies H-1 Tiger,,Default,simple,,Root Catalog,base,,1,,4600013037015,,,,,,,,2013-12-03 10:52:14,,,,,,0,,,0,0,0,0,0,0,1,,,,,,,0,50,/7/b/7bbacc770c8f54f732c8434a56bab602.jpg,,,36,Babies,,,,,,,,,1,,Использовать настройки конфигурации,Использовать настройки конфигурации,Стулья для кормления Babies H-1 Tiger,,,vendor.model,Блок после информационной колонки,,1750.0000,,6,,0,,,,,,,,,,/7/b/7bbacc770c8f54f732c8434a56bab602.jpg,,,,,1,2,/7/b/7bbacc770c8f54f732c8434a56bab602.jpg,,,2014-04-08 19:18:32,stul-ja-dlja-kormlenija-babies-h-1-tiger,stul-ja-dlja-kormlenija-babies-h-1-tiger.html,,4,11.4000,38,0,100.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,703,/7/b/7bbacc770c8f54f732c8434a56bab602.jpg,,1,0
